Stock Symbol,Market Cap,P/E Ratio,EPS,Yield
BWCG,$16.90 M,N/A,$-0.15,N/A
BLNT,"$786,844",N/A,$-0.02,N/A
BAG,$1.42 M,N/A,$0.00,N/A
BIP.PRB,N/A,N/A,N/A,6.29%
BIP.PRF,N/A,N/A,N/A,6.71%
BIP.PRE,N/A,N/A,N/A,7.78%
BIP.PRA,N/A,N/A,N/A,6.00%
BRN.PRA,N/A,N/A,N/A,4.71%
BPO.PRP,N/A,N/A,N/A,11.21%
BPO.PRR,N/A,N/A,N/A,10.44%
BPO.PRI,N/A,N/A,N/A,11.23%
BPO.PRA,N/A,N/A,N/A,11.04%
BPO.PRC,N/A,N/A,N/A,9.56%
BPO.PRE,N/A,N/A,N/A,10.45%
BPO.PRG,N/A,N/A,N/A,11.28%
BPO.PRN,N/A,N/A,N/A,10.40%
BPO.PRX,N/A,N/A,N/A,8.41%
BPO.PRW,N/A,N/A,N/A,9.63%
BPO.PRY,N/A,N/A,N/A,8.93%
BPYP.PRA,N/A,N/A,N/A,9.46%
BPS.PRA,N/A,N/A,N/A,5.79%
BPS.PRC,N/A,N/A,N/A,5.21%
BNRE,$2.19 B,N/A,N/A,N/A
BEPC,$17.07 B,9.42,$5.02,3.84%
BEP.UT,$27.57 B,N/A,$-0.71,4.26%
BEP.PRG,N/A,N/A,N/A,6.28%
BEP.PRR,N/A,N/A,N/A,7.35%
BEP.PRO,N/A,N/A,N/A,6.61%
BEP.PRM,N/A,N/A,N/A,7.34%
BRF.PRE,N/A,N/A,N/A,6.97%
BRF.PRA,N/A,N/A,N/A,5.50%
BRF.PRB,N/A,N/A,N/A,10.79%
BRF.PRC,N/A,N/A,N/A,6.84%
BRF.PRF,N/A,N/A,N/A,6.98%
DOO,$7.93 B,9.41,$10.70,0.72%
BRW,$143.69 M,N/A,$-0.04,N/A
HOM.UT,$1.01 B,3.37,$5.11,4.09%
BTB.UT,$278.73 M,6.96,$0.47,9.15%
BTU,$5.30 M,N/A,$-0.01,N/A
BUI,$50.75 M,18.83,$0.11,N/A
BILD,$11.01 M,N/A,$-0.23,N/A
BCF,$28.57 M,9.80,$0.92,8.76%
ZLTO,N/A,N/A,N/A,N/A
AMMO,"$634,076",N/A,$-0.01,N/A
BGD,$1.60 M,N/A,$-0.01,N/A
BNKR,$35.85 M,11.72,$0.01,N/A
BU,$27.73 M,N/A,$-0.26,N/A
BURG,$1.03 M,N/A,$-0.14,N/A
BURY,$2.17 M,N/A,$0.00,N/A
BEN.H,$20.61 M,N/A,$0.00,N/A
BWR,$3.04 M,N/A,$0.00,N/A
BYND,$137.20 M,N/A,$-0.06,N/A
BZAM,$34.61 M,N/A,$-0.44,N/A
CXXI,$42.02 M,23.26,$0.01,N/A
CTOC,$4.17 M,N/A,$-0.01,N/A
CCCM,$34.14 M,N/A,$-0.01,N/A
CAE,$9.57 B,52.50,$0.56,N/A
CWL,$28.73 M,N/A,$-0.09,N/A
CFW,$340.42 M,4.34,$1.00,N/A
CFW.WT,N/A,N/A,N/A,N/A
CGY,$720.90 M,41.39,$1.48,1.83%
CXB,$742.63 M,11.84,$0.14,N/A
CNO,$5.88 M,12.50,$0.01,N/A
CNX,$46.06 M,N/A,$-0.01,N/A
COR,$17.33 M,N/A,$-0.02,N/A
CF,$948.21 M,N/A,$-0.56,3.49%
CF.PRA,N/A,N/A,N/A,7.55%
CF.PRC,N/A,N/A,N/A,9.68%
CNE,$385.46 M,0.42,$26.87,9.26%
CCB,$4.73 M,N/A,$-0.01,N/A
GOOS,$2.40 B,32.59,$0.69,N/A
CNC,$172.38 M,N/A,$-0.11,N/A
LL,$9.45 M,N/A,$0.00,N/A
CCW,$13.18 M,N/A,$-0.08,N/A
CANB,$32.23 M,12.37,$0.02,N/A
CAR.UT,$8.22 B,N/A,$-0.76,2.98%
BK.PRA,N/A,N/A,N/A,7.18%
CCI,$6.70 M,N/A,$-0.02,N/A
CCMI,$8.76 M,21.05,$0.00,N/A
CGI.PRD,N/A,N/A,N/A,3.73%
CGC,$44.65 M,N/A,$0.00,N/A
CM,$51.18 B,11.14,$5.05,5.97%
CM.PRS,N/A,N/A,N/A,7.00%
CM.PRY,N/A,N/A,N/A,5.54%
CM.PRO,N/A,N/A,N/A,5.57%
CM.PRT,N/A,N/A,N/A,5.83%
CM.PRP,N/A,N/A,N/A,6.03%
CM.PRQ,N/A,N/A,N/A,4.59%
LFE.PRB,N/A,N/A,N/A,7.82%
CME,$3.08 M,N/A,$-0.01,N/A
CNR,$106.90 B,19.61,$7.96,2.02%
CNQ,$84.97 B,9.27,$8.46,4.59%
NET.UT,$109.33 M,N/A,N/A,6.57%
CNRI,$229.59 M,N/A,$-0.04,N/A
XOP,$29.36 M,N/A,$-0.13,N/A
CP,$103.89 B,26.72,$3.99,0.71%
BULL,$7.20 M,N/A,$-0.02,N/A
CPS,$43.52 M,N/A,$-0.13,N/A
AGH.H,"$980,689",N/A,$-0.01,N/A
SPI,$20.11 M,N/A,$-0.01,N/A
CTC,$10.14 B,22.02,$14.80,2.12%
CTC.A,$10.09 B,11.28,$14.80,4.13%
CU.PRC,N/A,N/A,N/A,7.12%
CU.PRH,N/A,N/A,N/A,6.16%
CU,$10.26 B,16.07,$2.30,4.85%
CU.X,$10.26 B,16.10,$2.30,4.84%
CU.PRI,N/A,N/A,N/A,4.88%
CU.PRF,N/A,N/A,N/A,6.07%
CU.PRG,N/A,N/A,N/A,6.11%
CU.PRD,N/A,N/A,N/A,6.21%
CWB,$2.36 B,7.36,$3.41,5.10%
CWB.PRD,N/A,N/A,N/A,6.30%
CWB.PRB,N/A,N/A,N/A,6.40%
CAF,$6.17 M,4.87,$0.03,N/A
CCM,$34.91 M,N/A,$-0.03,N/A
CVV,$40.21 M,N/A,$-0.06,N/A
CLZ,$3.43 M,N/A,$-0.01,N/A
CCM,$34.91 M,N/A,$-0.03,N/A
CVV,$40.21 M,N/A,$-0.06,N/A
CLZ,$3.43 M,N/A,$-0.01,N/A
CAND,$5.23 M,N/A,$-0.07,N/A
CANX,$5.67 M,N/A,$-0.01,N/A
CFP,$2.56 B,23.56,$0.86,N/A
CFX,$114.16 M,N/A,$-1.20,N/A
CML,$4.88 M,N/A,$-0.25,N/A
ICE,$47.61 M,7.86,$0.45,3.36%
BLO,$35.38 M,N/A,$-0.02,N/A
LOVE,$76.09 M,22.14,$0.04,N/A
WEED,$717.60 M,N/A,$-7.69,N/A
WEED.WT,N/A,N/A,N/A,N/A
CSOC.A,$6.84 M,N/A,$-0.28,N/A
CSOC.B,$7.49 M,N/A,$-0.28,N/A
ROX,$6.06 M,N/A,$-0.08,N/A
CTM,$6.51 M,N/A,$-0.05,N/A
CD,$17.33 M,N/A,$-0.10,N/A
CYF,"$527,234",N/A,$-0.10,N/A
CMIL,$5.79 M,N/A,$-0.02,N/A
CPX,$5.40 B,20.32,$2.26,5.04%
CPX.PRE,N/A,N/A,N/A,6.20%
CPX.PRC,N/A,N/A,N/A,6.49%
CPX.PRK,N/A,N/A,N/A,5.85%
CPX.PRA,N/A,N/A,N/A,5.09%
CAI,$5.79 M,N/A,$0.00,N/A
CAPT,$14.12 M,N/A,$-0.01,N/A
CAPR,$1.25 M,N/A,$-0.02,N/A
CSE.PRA,N/A,N/A,N/A,6.86%
PWR,$5.11 M,N/A,$-0.03,N/A
CNRG,$6.85 M,N/A,N/A,N/A
AUTO,$6.20 M,N/A,$-0.07,N/A
CJ,$1.10 B,4.38,$1.65,9.94%
CRDL,$51.87 M,N/A,$-0.46,N/A
CRBK,$6.61 M,N/A,$-0.25,N/A
CRRX,$130.26 M,N/A,$-0.71,N/A
CSPN,$2.08 M,N/A,N/A,N/A
CCC,$2.57 M,N/A,$-0.58,N/A
RUSH,$4.39 M,N/A,$-0.09,N/A
CRIV,$1.26 M,N/A,$-0.02,N/A
ECR,$39.35 M,N/A,$0.00,N/A
CFE,$15.59 M,N/A,$-0.08,N/A
CASA,$5.94 M,N/A,$-0.01,N/A
CSS,$1.62 M,N/A,$-0.01,N/A
CCD,$3.00 M,N/A,$0.00,N/A
CK,$1.10 M,N/A,$0.00,N/A
CBOX.X,$3.72 M,N/A,$-0.01,N/A
GLDC,$36.70 M,N/A,$-0.04,N/A
CAT,$4.76 M,N/A,$-0.01,N/A
CBIT,$13.04 M,N/A,$-0.42,N/A
CET,$167.88 M,8.36,$0.09,N/A
CBLT,$3.05 M,N/A,$0.00,N/A
CCL.A,$12.51 B,19.50,$3.48,1.55%
CCL.B,$12.51 B,19.41,$3.48,1.57%
CMI,$38.30 M,106.82,$0.01,5.32%
CDN,$26.38 M,N/A,$-0.07,N/A
CEBI,"$885,157",N/A,$-0.55,N/A
CZO,$39.13 M,10.00,$0.06,N/A
CLS,$1.88 B,9.65,$1.60,N/A
CVX,$27.48 M,N/A,$-0.04,N/A
CVE,$42.56 B,8.30,$2.71,2.53%
CVE.PRC,N/A,N/A,N/A,6.28%
CVE.PRB,N/A,N/A,N/A,9.82%
CVE.PRE,N/A,N/A,N/A,5.78%
CVE.PRG,N/A,N/A,N/A,5.05%
CVE.PRA,N/A,N/A,N/A,4.89%
CVE.WT,N/A,N/A,N/A,N/A
CEE,$2.05 B,22.32,$0.08,5.54%
CTA,"$979,254",0.02,$38.38,N/A
CG,$1.55 B,N/A,$-1.45,3.93%
CNTR,$30.97 M,N/A,$-0.07,N/A
CTN,"$336,394",N/A,$-0.05,N/A
CNT,$9.85 M,N/A,$-0.01,N/A
LCE,$147.46 M,N/A,$-0.03,N/A
