Stock Symbol,Market Cap,P/E Ratio,EPS,Yield
CRP,$78.23 M,N/A,$-1.16,N/A
CDAY,$12.89 B,N/A,$-0.31,N/A
CERT,$58.15 M,N/A,$-0.10,N/A
CDPR,$34.54 M,N/A,$-0.08,N/A
CEG,$4.30 M,N/A,$0.00,N/A
CBP,$4.79 M,N/A,$-0.02,N/A
CEU,$606.92 M,5.32,$0.45,4.17%
CYL,$10.79 M,N/A,$-0.02,N/A
CFY,$19.77 M,5.65,$0.05,N/A
GIB.A,$33.56 B,21.59,$6.38,N/A
OYL,$446.88 M,N/A,$-0.03,N/A
PERU,$10.25 M,N/A,$-0.03,N/A
WAGR,$8.24 M,N/A,$-0.09,N/A
CIA,$2.98 B,12.74,$0.43,3.62%
CH,$1.62 M,N/A,$-0.75,N/A
CWEB,$45.73 M,N/A,$-0.49,N/A
CSH.UT,$2.23 B,50.00,$0.18,6.70%
NZP,$8.96 M,N/A,$-0.02,N/A
CHM,"$289,898",N/A,$-0.05,N/A
CHE.UT,$997.93 M,7.35,$1.16,7.07%
CKG,$93.98 M,N/A,$-0.16,N/A
CHW,$144.15 M,5.70,$1.43,6.38%
CBG,$6.72 M,N/A,$-0.02,N/A
CGG,$2.38 B,7.58,$0.76,N/A
CHGX,$6.89 M,N/A,$-0.11,N/A
CHP.UT,$10.08 B,15.98,$0.87,5.41%
CHR,$623.10 M,20.75,$0.15,N/A
CLC,$10.39 M,N/A,$-0.02,N/A
CRI,$5.28 M,N/A,$-0.09,N/A
CIX,$2.30 B,12.79,$1.00,5.60%
CMC,$41.46 M,N/A,$-0.05,N/A
CMC.WT,N/A,N/A,N/A,N/A
CPH,$89.19 M,2.44,$1.45,N/A
CVGR,$1.39 M,N/A,$-0.01,N/A
CVG,$1.24 B,4.57,$18.16,0.12%
CMET,$3.00 M,N/A,$-0.07,N/A
NICO,$7.08 M,N/A,$-0.04,N/A
AIR,$14.53 M,N/A,$-0.02,N/A
CSX,$11.67 M,N/A,$-0.03,N/A
CGII,"$612,508",N/A,$-0.85,N/A
CBLU,$6.08 M,N/A,$-0.06,N/A
CMND,$4.69 M,N/A,$-6.64,N/A
CZZ,$1.47 M,N/A,$-0.01,N/A
CLIP,$11.03 M,N/A,$-2.02,N/A
CDX,$5.35 M,N/A,$-0.15,N/A
CLSH,$5.39 M,N/A,$-0.43,N/A
CMB,$17.29 M,N/A,$-0.03,N/A
CMP,N/A,N/A,N/A,N/A
CXC,$3.29 M,N/A,$-0.01,N/A
GROW,$9.25 M,N/A,$-0.02,N/A
CBV,$2.09 M,8.89,$0.01,N/A
CEI,N/A,N/A,N/A,N/A
CCA,$2.95 B,7.28,$9.07,4.70%
CGO,$863.62 M,5.73,$9.50,5.37%
CGN,$25.51 M,N/A,$-0.13,N/A
COHO,N/A,N/A,N/A,N/A
GCL,$78.51 M,14.05,$0.05,N/A
CBI,$7.25 M,N/A,$-0.01,N/A
COMT,$1.50 M,N/A,$-0.01,N/A
CNL,$302.23 M,N/A,$-0.46,N/A
CIGI,$5.53 B,107.97,$1.18,0.32%
CAD,$289.92 M,N/A,$-0.06,N/A
TIE,$13.20 M,10.00,$0.07,N/A
CEL.H,$1.34 M,N/A,$-0.01,N/A
CMD,$2.76 M,N/A,$-0.02,N/A
CCE,$12.48 M,N/A,$0.00,N/A
YCM.PRA,N/A,N/A,N/A,6.32%
YCM.PRB,N/A,N/A,N/A,7.31%
CHS,$5.22 M,N/A,$-0.09,N/A
CMG,$543.45 M,28.13,$0.24,2.94%
CSL,"$445,080",N/A,$-0.07,N/A
CDR,$20.57 M,N/A,$-0.05,N/A
COG,$88.48 M,N/A,$-0.03,N/A
CN,$20.30 M,13.72,$0.01,N/A
CFF,$57.20 M,11.05,$0.12,N/A
CQR,$3.38 M,N/A,$-0.01,N/A
CUR,$112.15 M,N/A,$-0.44,N/A
CSU,$57.84 B,82.10,$31.71,0.21%
C,$7.54 M,N/A,$-0.01,N/A
CTS,$698.25 M,26.38,$0.12,N/A
CCS.PRC,N/A,N/A,N/A,6.18%
CPAU,$25.07 M,N/A,$-0.04,N/A
CUU,$126.04 M,N/A,$0.00,N/A
CPL,$10.85 M,N/A,$-0.01,N/A
CMMC,$515.24 M,N/A,$-0.27,N/A
CRD,$3.78 M,N/A,$-0.04,N/A
CPER,$4.93 M,N/A,$-0.06,N/A
CPLF,$435.73 M,N/A,$-0.42,N/A
CSW.A,$421.61 M,18.32,$0.82,5.57%
CSW.B,$421.61 M,16.71,$0.82,6.11%
CRCL,N/A,N/A,N/A,N/A
CDB,$41.01 M,N/A,$-0.39,N/A
CDVA,$24.09 M,N/A,$-0.04,N/A
CC,$21.39 M,N/A,$-0.03,N/A
COOL,$17.95 M,N/A,$-0.58,N/A
CUSN,$106.78 M,N/A,$0.00,N/A
CSO,$33.05 M,N/A,$-0.28,N/A
CRTS,"$942,653",N/A,$-0.12,N/A
CJR.B,$277.22 M,N/A,$-1.60,8.96%
COSA,$13.50 M,N/A,$-0.04,N/A
CSG.H,N/A,N/A,N/A,N/A
CTH,$23.66 M,12.94,$0.04,N/A
COV,$48.55 M,N/A,$-0.33,N/A
CVO,$693.47 M,N/A,$-0.64,N/A
CRAN.P,"$290,780",N/A,$0.00,N/A
CPG,$4.99 B,10.40,$0.89,4.32%
CTX,$13.26 M,12.70,$0.05,N/A
CL,$819.75 M,N/A,$-0.95,N/A
CRS,$1.73 M,N/A,$-0.03,N/A
CR,$799.07 M,2.80,$1.90,N/A
CEQ,$12.68 M,N/A,$-0.01,N/A
CRE,$444.28 M,N/A,$-0.02,N/A
CTTT,$14.55 M,N/A,N/A,N/A
CRR.UT,$2.70 B,222.81,$0.07,5.92%
CRON,$982.51 M,N/A,$-0.55,N/A
CRVC,$1.93 M,N/A,$-0.09,N/A
CRWN,$43.45 M,N/A,$-1.00,N/A
CRUZ,$13.68 M,N/A,$-0.02,N/A
BLOX,$5.39 M,N/A,$-0.01,N/A
CSTR,$12.87 M,N/A,$-0.05,N/A
CRT.UT,$3.64 B,14.70,$1.04,5.66%
CIU.PRA,N/A,N/A,N/A,6.27%
CUB,$2.79 M,N/A,$-0.29,N/A
CMT,$10.67 M,N/A,$-0.02,N/A
CULT,$14.82 M,N/A,$-0.04,N/A
LAND,N/A,N/A,N/A,N/A
CURA,$2.76 B,N/A,$-0.74,N/A
CUI,$9.60 M,N/A,$-0.01,N/A
CIII.P,N/A,N/A,N/A,N/A
CVW,$124.12 M,N/A,$-0.04,N/A
CWC,$106.36 M,2.60,$0.08,N/A
CYBT,$132.21 M,N/A,N/A,N/A
CYBE,$6.62 M,N/A,$-0.01,N/A
CYM,$17.73 M,N/A,$-0.11,N/A
CODE,$1.62 M,N/A,$-0.23,N/A
HODL,$12.57 M,N/A,$-0.03,N/A
CHY,$2.00 M,N/A,$0.00,N/A
DTOL,$416.31 M,N/A,$-0.45,N/A
DMR,$2.78 M,N/A,$0.00,N/A
DVN,$18.84 M,N/A,$-0.05,N/A
DAR,"$368,541",N/A,$0.00,N/A
BATT,$1.36 M,N/A,N/A,N/A
DCM,$117.65 M,15.90,$0.16,N/A
DAC,$1.02 M,N/A,$-0.03,N/A
DM,$28.37 M,N/A,$-0.04,N/A
DAT.H,"$470,750",N/A,$0.00,N/A
DUR.P,"$267,280",N/A,$-0.14,N/A
DTEA,N/A,N/A,N/A,N/A
DBO,$22.02 M,N/A,$0.00,N/A
DEC,$6.60 M,N/A,$-0.01,N/A
DB,$52.65 M,N/A,$-0.01,N/A
DB.WTA,N/A,N/A,N/A,N/A
DE,$87.24 M,17.17,$0.38,6.37%
DE.WT,N/A,N/A,N/A,N/A
DKL,$19.19 M,N/A,$-0.13,N/A
MKT,$1.70 M,N/A,$-0.09,N/A
DEEP,$1.16 M,N/A,$-0.03,N/A
DSM,$11.66 M,N/A,$-0.06,N/A
DSAI,$6.61 M,N/A,$-0.02,N/A
DTC,$115.03 M,N/A,$-0.21,N/A
DEFN,$46.76 M,N/A,$-0.02,N/A
DEF,$37.75 M,N/A,$-0.02,N/A
DFY,$4.24 B,14.08,$2.61,1.50%
DELC,"$424,280",N/A,$-0.12,N/A
DHB,$5.05 M,N/A,$-0.01,N/A
LOTA,$2.95 M,N/A,N/A,N/A
DELX,$10.25 M,N/A,$-0.03,N/A
DN,$7.01 M,N/A,$-0.18,N/A
DELT,$3.24 M,N/A,$-0.05,N/A
DEME,N/A,N/A,N/A,N/A
DSLV,$26.46 M,N/A,$-0.56,N/A
DML,$1.19 B,N/A,$-0.04,N/A
DNTL,$1.35 B,N/A,$-0.21,N/A
DSG,$8.94 B,66.66,$1.55,N/A
DAU,$8.92 M,N/A,$-0.02,N/A
DME,$87.78 M,N/A,$-0.11,N/A
DME.WT,N/A,N/A,N/A,N/A
DSY,$11.21 M,16.41,$0.06,N/A
FARM,$40.16 M,N/A,$-0.09,N/A
GSD,$38.66 M,N/A,$-0.03,N/A
DXT,$348.35 M,50.23,$0.11,6.39%
DFR,$16.35 M,N/A,$-0.25,N/A
DGTL,$1.90 M,N/A,$-0.09,N/A
DMED,$4.95 M,N/A,N/A,N/A
ADK,$27.79 M,N/A,$-0.04,N/A
CARE,$236.28 M,N/A,$-0.33,N/A
DMI,$16.06 M,N/A,$-0.01,N/A
DWS,$10.59 M,N/A,$-0.26,N/A
DGHI,$53.86 M,N/A,$-0.82,N/A
DOS,$8.03 M,41.18,$0.00,N/A
DCSI,$12.12 M,N/A,$-1.32,N/A
DRT,$48.46 M,N/A,$-0.63,N/A
DHR,"$945,093",N/A,$-0.03,N/A
DSV,$341.78 M,N/A,$-0.09,N/A
DCOP,$1.60 M,N/A,$-0.03,N/A
DMX,$8.70 M,N/A,$-0.01,N/A
DVG,$2.31 M,2.54,$0.03,N/A
DIV,$426.70 M,23.70,$0.13,8.08%
DF.PRA,N/A,N/A,N/A,6.05%
DFN.PRA,N/A,N/A,N/A,5.85%
DGS.PRA,N/A,N/A,N/A,5.77%
DG,$2.32 M,N/A,$-0.01,N/A
DLP,$45.33 M,N/A,$-0.04,N/A
DMGI,$44.44 M,N/A,$-0.17,N/A
DCBO,$1.49 B,73.82,$0.59,N/A
DOL,$24.66 B,29.92,$2.76,0.34%
MOOD,$1.02 M,N/A,$-0.04,N/A
DBG,$91.28 M,N/A,$-0.01,N/A
DPRO,$40.78 M,N/A,$-0.84,N/A
MPCT.UT,$164.95 M,N/A,$-0.71,6.69%
DIR.UT,$3.84 B,15.65,$0.90,4.99%
D.UT,$746.53 M,70.62,$0.21,6.88%
DRM,$911.80 M,6.18,$3.53,2.29%
DHT.UT,$305.07 M,N/A,N/A,4.29%
FLT,$91.92 M,N/A,$-0.06,N/A
DC.A,$124.20 M,N/A,$-0.31,N/A
DC.PRD,N/A,N/A,N/A,10.66%
DC.PRB,N/A,N/A,N/A,7.34%
DPM,$1.83 B,25.14,$0.38,2.21%
DST,$3.21 M,N/A,$-0.06,N/A
DGO,$4.24 M,N/A,$-0.03,N/A
DND,$924.07 M,N/A,$-1.41,0.46%
DYA,$61.09 M,N/A,$-0.03,N/A
DNG,$117.26 M,7.85,$0.39,3.95%
DYG,$11.57 M,N/A,$-0.01,N/A
EINC,$162.66 M,N/A,$-1.28,N/A
ENS.PRA,N/A,N/A,N/A,5.21%
ETU,$4.60 M,N/A,$-0.03,N/A
ETL,$174.49 M,N/A,$-0.12,N/A
ESNR,$6.70 M,N/A,$-0.04,N/A
EBR,$2.38 M,N/A,N/A,N/A
EPL,$27.05 M,N/A,$-0.01,N/A
EAC,$12.02 M,N/A,$-0.01,N/A
SPOT,$34.82 M,N/A,$-0.20,N/A
ERTH,$11.30 M,N/A,$-0.06,N/A
ERTH.WT,N/A,N/A,N/A,N/A
WISE,"$481,610",N/A,$-0.31,N/A
EWK,$22.03 M,N/A,$-0.02,N/A
EAM,$28.50 M,N/A,$-0.01,N/A
EAGR,$53.81 M,5.94,$0.11,N/A
EW,$5.38 M,N/A,$-0.01,N/A
ELR,$14.47 M,N/A,$-0.02,N/A
ETF,$2.22 M,N/A,$-0.01,N/A
EBM,$52.35 M,N/A,$0.00,N/A
EATS,$1.54 M,N/A,$-1.06,N/A
EWG,$29.79 M,N/A,$-0.43,N/A
ECN,$711.61 M,N/A,$-0.08,1.37%
ECN.PRC,N/A,N/A,N/A,9.77%
EOG,$123.06 M,N/A,$-0.17,N/A
EOM,$4.26 M,N/A,$-0.06,N/A
ECM,$74.62 M,N/A,$-0.01,N/A
ECOR,$486.13 M,3.84,$0.56,5.15%
ECO,$153.51 M,N/A,$-0.06,N/A
EDY,$1.93 M,N/A,$-0.18,N/A
CTRL,$18.04 M,N/A,$-0.48,N/A
YFI,$8.41 M,N/A,$-0.01,N/A
EDDY,$5.76 M,N/A,$-0.01,N/A
EDM,$9.41 M,N/A,$-0.10,N/A
EFV,$5.43 M,N/A,$0.00,N/A
TMED,"$533,140",N/A,$-0.53,N/A
EGR,$2.56 M,N/A,$-0.06,N/A
EGT,$66.30 M,N/A,$-0.03,N/A
ELF,$3.18 B,10.21,$88.74,1.66%
ELF.PRF,N/A,N/A,N/A,6.37%
ELF.PRG,N/A,N/A,N/A,6.24%
ELF.PRH,N/A,N/A,N/A,6.25%
ERA,$12.27 M,N/A,$0.00,N/A
ELD,$2.60 B,N/A,$-0.64,N/A
ELBM,$63.77 M,N/A,$-0.65,N/A
EML,$26.01 M,N/A,$-0.03,N/A
ELEC,$30.23 M,N/A,$-0.02,N/A
EFL,$163.19 M,N/A,$-0.05,N/A
ECU,$15.45 M,N/A,$-0.07,N/A
EFN,$7.76 B,20.47,$0.98,1.99%
EFN.PRE,N/A,N/A,N/A,6.13%
EFN.PRA,N/A,N/A,N/A,6.97%
ELMT,$11.21 M,N/A,$-0.06,N/A
ELEM,$5.37 M,N/A,$-0.10,N/A
ELE,$220.68 M,N/A,$-0.18,N/A
ELVT,$17.11 M,N/A,$-0.52,N/A
ELVT.WTA,N/A,N/A,N/A,N/A
ELO,$228.55 M,N/A,N/A,N/A
BABY,$81.20 M,N/A,$-0.16,N/A
ELC,$13.96 M,N/A,$-0.09,4.35%
EMA,$15.49 B,13.37,$4.24,4.87%
EMA.PRJ,N/A,N/A,N/A,4.67%
EMA.PRF,N/A,N/A,N/A,5.98%
EMA.PRH,N/A,N/A,N/A,5.92%
EMA.PRL,N/A,N/A,N/A,6.33%
EMA.PRB,N/A,N/A,N/A,10.18%
EMA.PRC,N/A,N/A,N/A,6.09%
ECOM,$7.40 M,N/A,$-0.16,N/A
EMR,$3.40 M,N/A,$-0.11,N/A
EMER,$14.17 M,0.42,$0.72,N/A
EMNT,$17.24 M,N/A,$-0.04,N/A
EMPS,$28.26 M,N/A,$-0.03,N/A
EMPH,"$363,760",N/A,$-0.03,N/A
AUOZ,$6.51 M,N/A,$-0.02,N/A
EMP.A,$9.17 B,13.41,$2.60,1.89%
EPW,$3.49 M,N/A,$-0.01,N/A
EMPR,$25.77 M,N/A,$-0.04,N/A
ENA,$26.03 M,N/A,$-0.63,N/A
ENB.PRD,N/A,N/A,N/A,7.88%
ENB,$101.38 B,42.01,$1.18,7.16%
ENB.PRP,N/A,N/A,N/A,7.12%
ENB.PRT,N/A,N/A,N/A,6.85%
ENB.PRA,N/A,N/A,N/A,6.29%
ENB.PFK,N/A,N/A,N/A,6.90%
ENB.PFC,N/A,N/A,N/A,6.88%
ENB.PRB,N/A,N/A,N/A,7.85%
ENB.PRF,N/A,N/A,N/A,6.67%
ENB.PRH,N/A,N/A,N/A,6.86%
ENB.PRN,N/A,N/A,N/A,7.52%
ENB.PFE,N/A,N/A,N/A,5.53%
ENB.PFG,N/A,N/A,N/A,5.46%
ENB.PRY,N/A,N/A,N/A,6.66%
ENB.PRJ,N/A,N/A,N/A,7.15%
ENB.PFA,N/A,N/A,N/A,6.89%
EPO.H,$2.22 M,N/A,$-0.02,N/A
EU,$423.95 M,N/A,$-0.15,N/A
EDV,$8.28 B,N/A,$-0.15,3.26%
EDR,$839.70 M,567.95,$0.01,N/A
EDG,$36.34 M,N/A,$-0.01,N/A
ENDR,$19.28 M,800.00,$0.00,N/A
EFX,$1.02 B,N/A,$-0.79,1.21%
EFR,$1.28 B,14.34,$0.59,N/A
ERF,$4.31 B,3.43,$5.83,1.34%
ENRT,$7.17 M,1.89,$0.02,N/A
ENGH,$2.07 B,22.94,$1.62,2.36%
EGM,$1.86 M,N/A,$-0.04,N/A
ESI,$398.24 M,108.91,$0.02,N/A
E,$23.91 M,6.89,$0.07,N/A
ENBI,$1.18 M,N/A,$-0.14,N/A
EGLX,$100.17 M,N/A,$-0.50,N/A
ENTG,$6.13 M,N/A,$-0.40,N/A
ETG,$237.76 M,N/A,$-0.06,N/A
NVRO,$26.31 M,N/A,$-0.05,N/A
ETI,$4.86 M,N/A,$-0.05,N/A
EWS,$10.67 M,N/A,$-0.01,N/A
ENW,$41.44 M,N/A,$-0.08,N/A
EON,$1.24 M,N/A,$-0.07,N/A
EONX,$5.73 M,N/A,$-0.26,N/A
EPR,N/A,N/A,N/A,N/A
EQ,$81.24 M,N/A,$-0.09,N/A
EQB,$2.50 B,8.67,$7.65,2.23%
EQB.PRC,N/A,N/A,N/A,6.54%
EQX,$2.07 B,N/A,$-0.30,N/A
EQTY,$18.43 M,N/A,$-0.02,N/A
ERD,$111.43 M,N/A,$-0.02,N/A
EONX,$5.73 M,N/A,$-0.26,N/A
EPR,N/A,N/A,N/A,N/A
EQ,$81.24 M,N/A,$-0.09,N/A
EQB,$2.50 B,8.67,$7.65,2.23%
EQB.PRC,N/A,N/A,N/A,6.54%
EQX,$2.07 B,N/A,$-0.30,N/A
EQTY,$18.43 M,N/A,$-0.02,N/A
ERD,$111.43 M,N/A,$-0.02,N/A
ERO,$2.31 B,23.07,$1.06,N/A
ERC,$4.89 M,N/A,$-0.09,N/A
ESE,$11.62 M,N/A,$-0.41,N/A
ESGW,$4.93 M,N/A,$-0.03,N/A
ESAU,$7.67 M,N/A,$-0.01,N/A
ESK,$100.99 M,N/A,$-0.11,N/A
ESN,$49.72 M,11.80,$0.03,N/A
ESX,"$881,788",N/A,$-0.02,N/A
REE,$4.95 M,N/A,$-0.02,N/A
ETR,$4.94 M,N/A,$-0.01,N/A
EPRX,$163.58 M,N/A,$-1.16,N/A
EPRX.WT,N/A,N/A,N/A,N/A
EPRX.WTA,N/A,N/A,N/A,N/A
ESM,$8.52 M,N/A,$-0.04,N/A
EOX,$28.27 M,N/A,$-0.02,N/A
FIN,$16.24 M,N/A,$-0.05,N/A
ERE.UT,$696.53 M,16.33,$0.18,10.15%
EVNI,N/A,N/A,N/A,N/A
EVGN,$41.67 M,N/A,$-0.30,N/A
EVER,$4.12 M,N/A,$-0.03,N/A
ET,$937.58 M,14.59,$0.85,6.15%
EPF,$15.61 M,N/A,$-0.03,N/A
OKAI,$53.75 M,N/A,$-0.02,N/A
EXN,$13.82 M,N/A,$-0.11,N/A
MIN,$63.21 M,N/A,$-0.02,N/A
EIF,$2.36 B,21.13,$2.59,4.60%
XTC,$312.47 M,14.06,$0.56,5.30%
XBLK.X,$1.61 M,N/A,$0.00,N/A
EXG,$6.39 M,N/A,$-0.01,N/A
NFLD,$24.92 M,N/A,$-0.07,N/A
EXRO,$328.33 M,N/A,$-0.27,N/A
EXRO.WT,N/A,N/A,N/A,N/A
EXE,$608.56 M,388.17,$0.02,6.65%
FUU,$109.20 M,N/A,$-0.04,N/A
FABL,$1.22 M,N/A,$-0.16,N/A
FFH,$25.62 B,8.01,$121.59,1.38%
FFH.PRD,N/A,N/A,N/A,4.47%
FFH.PRJ,N/A,N/A,N/A,7.48%
FFH.PRK,N/A,N/A,N/A,7.04%
FFH.PRM,N/A,N/A,N/A,6.25%
FFH.PRF,N/A,N/A,N/A,9.94%
FFH.PRH,N/A,N/A,N/A,8.65%
FFH.PRI,N/A,N/A,N/A,5.66%
FFH.PRC,N/A,N/A,N/A,6.77%
FFH.PRE,N/A,N/A,N/A,5.24%
FFH.PRG,N/A,N/A,N/A,5.31%
FPC,$29.87 M,N/A,$-0.01,N/A
FG,$7.12 M,N/A,$-0.01,N/A
FO,$177.54 M,N/A,$0.00,N/A
FNC,$18.53 M,1.21,$0.09,N/A
FDM,$2.46 M,N/A,$-0.06,N/A
FANS,$21.08 M,N/A,$-0.19,N/A
FDY,$134.94 M,N/A,$-0.10,N/A
FDGE,$8.31 M,N/A,$-1.99,N/A
FNI,$8.32 M,N/A,$-0.02,N/A
FE,$26.41 M,N/A,$-0.15,N/A
FNDX,$22.84 M,N/A,N/A,N/A
FENX,$11.61 M,N/A,$-0.05,N/A
FRX,$267.89 M,N/A,$-1.31,N/A
FMN,$7.72 M,N/A,$-0.02,N/A
FSZ,$703.09 M,36.25,$0.19,12.80%
FIL,$2.86 B,N/A,$-0.69,N/A
FTN.PRA,N/A,N/A,N/A,7.85%
CALI.X,"$338,086",N/A,$-0.51,N/A
FDI,$13.03 M,8.65,$0.05,6.59%
FNQ,$3.97 M,N/A,$0.00,N/A
FYL,$4.47 M,N/A,$0.00,N/A
FTT,$5.69 B,10.53,$3.55,2.67%
FTEC,$2.00 M,1.60,$0.02,N/A
FTG,$76.04 M,13.93,$0.23,N/A
FAF,$47.79 M,N/A,$-1.90,N/A
FFOX,$8.37 M,N/A,$-0.03,N/A
FV.H,$2.53 M,N/A,$0.00,N/A
FCA.UT,$33.84 M,N/A,$-2.40,7.12%
FC,$384.84 M,11.88,$0.93,8.44%
FCD.UT,$217.25 M,N/A,$-0.02,8.96%
URM,$4.12 M,N/A,$-0.01,N/A
FCR.UT,$3.19 B,N/A,$-0.73,5.78%
HELI,$12.25 M,5.80,$0.03,N/A
FHYD,$166.66 M,N/A,$-0.23,N/A
FLM,$6.95 M,N/A,$-0.01,N/A
FR,$2.30 B,N/A,$-1.09,0.37%
FN.PRB,N/A,N/A,N/A,11.50%
FN.PRA,N/A,N/A,N/A,6.70%
PHOS,N/A,N/A,N/A,N/A
FM,$21.93 B,22.48,$1.36,0.85%
FTEL,$8.72 M,N/A,$-0.03,N/A
URNM,$3.72 M,N/A,$-0.06,N/A
FSV,$8.88 B,53.05,$3.65,0.62%
FCU,$419.52 M,N/A,$-0.01,N/A
FEX,$2.07 M,N/A,$-0.01,N/A
MHC.UT,$326.80 M,N/A,N/A,3.38%
FLNT,$3.85 M,N/A,N/A,N/A
FLOW,$24.01 M,N/A,$-0.84,N/A
FW,$17.60 M,1.23,$0.45,N/A
FWM,$1.38 M,N/A,$-0.06,N/A
FLYN,$8.47 M,N/A,$-0.06,N/A
FOBI,$53.00 M,N/A,$-0.09,N/A
FKM,$6.66 M,N/A,$0.00,N/A
FAR,$164.77 M,4.74,$0.35,N/A
FOM,$779.00 M,N/A,$-0.05,N/A
FAT,$29.50 M,N/A,$-0.01,N/A
FSY,$81.97 M,N/A,$-0.01,N/A
FTJ,$3.27 M,N/A,$-0.03,N/A
CUAU,$4.37 M,N/A,$-0.04,N/A
FTS,$28.41 B,19.71,$2.95,3.89%
FTS.PRH,N/A,N/A,N/A,3.81%
FTS.PRF,N/A,N/A,N/A,6.08%
FTS.PRM,N/A,N/A,N/A,5.89%
FTS.PRK,N/A,N/A,N/A,6.19%
FTS.PRI,N/A,N/A,N/A,7.93%
FTS.PRJ,N/A,N/A,N/A,6.16%
FVI,$1.35 B,N/A,$-0.67,N/A
FOR,$9.01 M,N/A,$-0.03,N/A
PLLR,"$291,484",N/A,$-0.04,N/A
FMC,$16.46 M,N/A,$-0.03,N/A
FWTC,$6.88 M,N/A,$-0.02,N/A
FORZ,$105.05 M,N/A,$-0.37,N/A
FSX,$26.81 M,N/A,$-0.09,N/A
FDR,$11.67 M,N/A,$-0.04,N/A
FA,$5.57 M,N/A,$-0.14,N/A
FNAU,$8.23 M,N/A,$-0.05,N/A
FOX,N/A,N/A,N/A,N/A
FP,$5.94 M,N/A,$-0.57,N/A
FPX,$95.09 M,N/A,$-0.02,N/A
FNV,$39.68 B,43.83,$4.65,0.89%
FMAC.P,N/A,N/A,N/A,N/A
FRED,$16.96 M,40.74,$0.00,N/A
FVL,$272.67 M,N/A,$0.00,N/A
FRU,$2.21 B,11.13,$1.34,7.27%
FMAN,$27.67 M,16.80,$0.01,N/A
FRI,$7.08 M,N/A,$-0.02,N/A
HUGE,$58.95 M,N/A,$-0.95,N/A
FTI,$1.50 M,38.46,$0.00,N/A
NHHH,$42.67 M,N/A,$-0.04,N/A
FCLI,$25.09 M,N/A,$-0.01,N/A
FMM,$3.56 M,N/A,$-0.01,N/A
FURY,$97.63 M,N/A,$-0.17,N/A
FUSE,$9.37 M,N/A,$-0.02,N/A
GMIN,$483.32 M,N/A,$-0.01,N/A
GETT,$2.14 M,N/A,$0.00,N/A
GTOO,$1.73 M,N/A,$-0.08,N/A
GTWO,$134.47 M,N/A,$-0.02,N/A
GGG,$4.09 M,N/A,$-0.04,N/A
GBU,$260.17 M,N/A,$-0.01,N/A
GABY,$3.60 M,N/A,$-0.05,N/A
GAL,$33.87 M,N/A,$-0.17,N/A
GLXY,$1.77 B,N/A,$-5.13,N/A
GAU,$188.95 M,2.62,$0.30,N/A
GLL,$1.38 M,1.38,$0.04,N/A
GGO,$15.38 M,N/A,$-0.02,N/A
GRI,$1.66 M,N/A,$-0.01,N/A
GWM,$31.91 M,N/A,$-0.17,N/A
GAMA,N/A,N/A,-0.03,N/A
GH,$200.70 M,13.53,$0.69,3.87%
GMNG,$48.79 M,N/A,$-0.03,N/A
GET,$5.18 M,N/A,$-0.10,N/A
GAME,$73.28 M,N/A,$-11.02,N/A
GAND,$17.27 M,N/A,$-0.01,N/A
GGI,$20.60 M,N/A,$-0.01,N/A
GATO,$493.32 M,N/A,$-1.02,N/A
GBLT,$13.05 M,60.53,$0.00,N/A
GDI,$1.08 B,32.35,$1.44,N/A
GXE,$260.70 M,3.71,$0.27,12.12%
GKO,$1.58 M,N/A,$-0.08,N/A
GMR,$6.94 M,N/A,$-0.01,N/A
GLAB,$26.07 M,N/A,$-0.10,N/A
GCA.X,$2.25 M,N/A,$-0.01,N/A
GA,"$263,751",N/A,$-0.36,N/A
GGLD,$2.94 M,N/A,$-0.02,N/A
GEN,"$719,947",N/A,$-0.01,N/A
GENM,$89.27 M,N/A,$-0.19,N/A
AICO,$5.88 M,0.06,$20.02,N/A
GGC,$4.93 M,N/A,$-0.02,N/A
GDC,$117.14 M,23.52,$0.09,N/A
GTTX,"$566,430",N/A,$-0.05,N/A
GENI,$3.86 M,N/A,$-0.02,N/A
GENX,$2.67 M,N/A,$-0.02,N/A
GSP,$48.26 M,N/A,$-0.01,N/A
GEO,$142.85 M,5.78,$0.53,2.61%
GRCM,"$793,770",N/A,$-0.01,N/A
GMA,$24.82 M,N/A,$-0.01,N/A
WN,$23.48 B,12.98,$12.69,1.73%
WN.PRE,N/A,N/A,N/A,6.19%
WN.PRC,N/A,N/A,N/A,6.24%
WN.PRA,N/A,N/A,N/A,6.08%
GTCH,$24.44 M,N/A,$-0.07,N/A
GTC,$4.88 M,N/A,$0.00,N/A
GFG,$19.93 M,N/A,$-0.01,N/A
GFL,$18.59 B,N/A,$-1.51,0.13%
GGL,$3.71 M,N/A,$-0.03,N/A
GGX,$1.91 M,N/A,$-0.02,N/A
GEI,$3.13 B,12.14,$1.76,7.29%
GIGA,$25.94 M,N/A,$-0.03,N/A
GIL,$7.11 B,10.89,$3.55,2.57%
GIT,$1.40 M,N/A,$-0.01,N/A
GIVX,$59.18 M,N/A,$-0.07,N/A
EMM,$32.77 M,N/A,$-0.03,N/A
NIKL,$2.44 M,N/A,$-0.01,N/A
GVC,$29.01 M,N/A,$-0.26,N/A
GLAD,$9.92 M,N/A,$-0.02,N/A
GER,$2.15 M,N/A,$-0.01,N/A
GLG,$1.92 M,N/A,$-0.92,N/A
