Stock Symbol,Buy,Overweight,Hold,Underweight,Sell
BN.PFH,9,1,1,1,0
BIP.PRB,8,1,2,1,0
BIP.PRF,8,1,2,1,0
BIP.UT,8,1,2,1,0
BIP.PRE,8,1,2,1,0
BIP.PRA,8,1,2,1,0
BRN.PRA,0,0,0,0,0
BPO.PRT,0,0,1,0,0
BPO.PRR,0,0,1,0,0
BPO.PRP,0,0,1,0,0
BPO.PRA,0,0,1,0,0
BPO.PRI,0,0,1,0,0
BPO.PRC,0,0,1,0,0
BPO.PRE,0,0,1,0,0
BPO.PRN,0,0,1,0,0
BPO.PRG,0,0,1,0,0
BPO.PRX,0,0,1,0,0
BPO.PRY,0,0,1,0,0
BPO.PRW,0,0,1,0,0
BPS.PRA,0,0,0,0,0
BPS.PRB,0,0,0,0,0
BPS.PRC,0,0,0,0,0
BNRE,0,0,0,0,0
BEPC,1,0,1,0,0
BEP.UT,9,1,4,0,0
BEP.PRG,3,1,5,0,0
BEP.PRR,3,1,5,0,0
BEP.PRO,3,1,5,0,0
BEP.PRM,3,1,5,0,0
BRF.PRE,0,0,0,0,0
BRF.PRA,0,0,0,0,0
BRF.PRC,0,0,0,0,0
BRF.PRB,0,0,0,0,0
BRF.PRF,0,0,0,0,0
DOO,14,2,2,0,0
BRW,0,0,0,0,0
HOM.UT,10,2,0,0,0
BTB.UT,3,0,2,0,0
BTU,0,0,0,0,0
BUI,0,0,1,0,0
BCF,1,0,0,0,0
BNKR,1,0,0,0,0
BGD,0,0,0,0,0
AMMO,0,0,0,0,0
BU,1,0,0,0,0
BRCO,0,0,0,0,0
BEN.H,0,0,0,0,0
BWR,0,0,0,0,0
BYND,0,0,0,0,0
BZAM,1,0,0,0,0
CXXI,0,0,0,0,0
CCCM,2,0,0,0,0
CTOC,0,0,0,0,0
CBR,1,0,0,0,0
CWL,1,0,0,0,0
CAE,9,0,2,0,0
CFW,3,0,1,0,0
CGY,7,1,0,0,0
CFW.WT,3,0,1,0,0
CXB,6,2,1,0,0
CNX,1,0,0,0,0
CNO,0,0,0,0,0
COR,0,0,0,0,0
CF,1,0,2,0,0
CF.PRA,1,0,2,0,0
CF.PRC,1,0,2,0,0
CNE,4,1,1,0,0
CCB,0,0,0,0,0
GOOS,3,0,7,1,1
CNC,5,1,0,0,0
LL,0,0,0,0,0
CCW,0,0,0,0,0
CANB,0,0,0,0,0
CAR.UT,11,0,2,1,0
BK.PRA,0,0,0,0,0
CCMI,1,0,0,0,0
CGI.PRD,0,0,0,0,0
CGC,0,0,0,0,0
CM,1,1,3,1,1
CM.PRS,0,0,0,0,0
CM.PRY,3,0,11,1,1
CM.PRO,3,0,11,1,1
CM.PRT,3,0,11,1,1
CM.PRP,3,0,11,1,1
CM.PRQ,3,0,11,1,1
CME,0,0,0,0,0
CNR,11,1,19,1,1
LFE.PRB,0,0,1,0,0
CNQ,14,0,8,0,0
NET.UT,5,0,0,0,0
CNRI,1,0,0,0,0
TEAM,0,0,0,0,0
XOP,1,0,0,0,0
CP,19,2,9,1,0
BULL,0,0,0,0,0
CPS,0,0,0,0,0
AGH.H,0,0,0,0,0
SPI,0,0,0,0,1
CTC,8,1,1,1,0
CTC.A,8,1,1,1,0
CU.PRE,0,0,8,1,0
CU.PRJ,0,0,8,1,0
CU.PRH,0,0,8,1,0
CU.PRC,0,0,8,1,0
CU,0,0,8,1,0
CU.X,0,0,8,1,0
CU.PRI,0,0,8,1,0
CU.PRF,0,0,8,1,0
